precinct,biden_total,trump_total,total,trump_percent,biden_percent
3060,805.0,619.0,1424.0,43.46910112359551,56.53089887640449
3061,765.0,564.0,1329.0,42.43792325056434,57.56207674943566
3062,13.0,9.0,22.0,40.909090909090914,59.09090909090909
3063,804.0,652.0,1456.0,44.78021978021978,55.219780219780226
3064,192.0,150.0,342.0,43.859649122807014,56.14035087719298
3065,20.0,10.0,30.0,33.33333333333333,66.66666666666666
3066,783.0,652.0,1435.0,45.43554006968641,54.56445993031359
3067,649.0,577.0,1226.0,47.06362153344209,52.93637846655791
3068,1140.0,522.0,1662.0,31.40794223826715,68.59205776173285
3069,1378.0,1114.0,2492.0,44.703049759229536,55.29695024077047
3070,1013.0,932.0,1945.0,47.91773778920309,52.08226221079691
3071,1091.0,691.0,1782.0,38.77665544332211,61.223344556677894
3072,1451.0,1792.0,3243.0,55.25747764415665,44.742522355843356
3073,713.0,508.0,1221.0,41.6052416052416,58.3947583947584
3074,1005.0,1026.0,2031.0,50.51698670605613,49.48301329394387
3075,1036.0,1508.0,2544.0,59.27672955974843,40.723270440251575
3076,477.0,639.0,1116.0,57.25806451612904,42.74193548387097
3077,1028.0,951.0,1979.0,48.05457301667509,51.945426983324914
3078,1138.0,1091.0,2229.0,48.945715567519066,51.054284432480934
3079,1262.0,1207.0,2469.0,48.88618874038072,51.11381125961928
3080,434.0,454.0,888.0,51.126126126126124,48.873873873873876
3081,896.0,785.0,1681.0,46.69839381320642,53.30160618679357
3082,927.0,850.0,1777.0,47.833427124366914,52.166572875633086
3083,550.0,622.0,1172.0,53.07167235494881,46.92832764505119
3084,1241.0,1214.0,2455.0,49.450101832993894,50.54989816700611
3085,493.0,448.0,941.0,47.60892667375133,52.39107332624867
3086,696.0,723.0,1419.0,50.95137420718816,49.04862579281184
3087,524.0,666.0,1190.0,55.96638655462185,44.03361344537815
3088,1339.0,1478.0,2817.0,52.46716364927227,47.53283635072773
3089,1336.0,2395.0,3731.0,64.1919056553203,35.80809434467971
3090,1126.0,1219.0,2345.0,51.98294243070363,48.01705756929637
3091,226.0,462.0,688.0,67.15116279069767,32.848837209302324
3092,775.0,1395.0,2170.0,64.28571428571429,35.714285714285715
3093,1637.0,1944.0,3581.0,54.286512147444846,45.713487852555154
3094,1362.0,1694.0,3056.0,55.43193717277487,44.56806282722513
3095,1233.0,629.0,1862.0,33.78088077336198,66.21911922663803
3096,1104.0,1444.0,2548.0,56.67189952904239,43.328100470957615
3097,1.0,10.0,11.0,90.9090909090909,9.090909090909092
3098,499.0,504.0,1003.0,50.24925224327019,49.750747756729815
3099,1402.0,1301.0,2703.0,48.13170551239364,51.868294487606356
3100,1302.0,1119.0,2421.0,46.220570012391576,53.77942998760843
3101,1071.0,1034.0,2105.0,49.12114014251782,50.87885985748218
3102,1157.0,1230.0,2387.0,51.52911604524508,48.470883954754925
3103,319.0,218.0,537.0,40.59590316573557,59.40409683426443
3104,965.0,1075.0,2040.0,52.69607843137255,47.30392156862745
3105,1221.0,1181.0,2402.0,49.16736053288926,50.83263946711074
3106,488.0,831.0,1319.0,63.00227445034117,36.99772554965883
3107,729.0,394.0,1123.0,35.08459483526269,64.91540516473731
3108,543.0,685.0,1228.0,55.78175895765472,44.21824104234528
3109,1203.0,875.0,2078.0,42.10779595765159,57.89220404234842
3110,1144.0,1089.0,2233.0,48.76847290640394,51.231527093596064
3111,0.0,0.0,0.0,,
3112,710.0,352.0,1062.0,33.14500941619586,66.85499058380414
3113,473.0,221.0,694.0,31.84438040345821,68.15561959654178
3114,705.0,1162.0,1867.0,62.23888591322978,37.76111408677022
3115,721.0,759.0,1480.0,51.28378378378379,48.71621621621622
3116,661.0,438.0,1099.0,39.85441310282074,60.14558689717925
3117,1131.0,1272.0,2403.0,52.9338327091136,47.06616729088639
3118,408.0,342.0,750.0,45.6,54.400000000000006
3119,1577.0,1159.0,2736.0,42.36111111111111,57.638888888888886
3120,1287.0,1218.0,2505.0,48.622754491017965,51.37724550898204
3121,1687.0,1749.0,3436.0,50.90221187427241,49.09778812572759
3122,887.0,870.0,1757.0,49.51622083096186,50.48377916903814
3123,211.0,329.0,540.0,60.92592592592593,39.07407407407407
